name,centre_body,a,e,i,w,Omega,M_0,dtInit
Mercury,Sun,  3.870984895729288E-01,  2.056247413649746E-01,  7.003616656914201E+00,  2.918888385277950E+01,  4.830230537339941E+01,  5.863774521754529E+01,2022-04-28 06:21:50.268100
Venus,Sun,  7.233243067023233E-01,  6.762119643507549E-03,  3.394405207839974E+00,  5.466603166638878E+01,  7.661806574658667E+01,  1.524890676335005E+02,2022-04-28 06:21:51.455400
Earth,Sun,  1.000757778715661E+00,  1.661674304980755E-02,  2.194794017762325E-03,  3.225058811086910E+02,  1.432499943131500E+02,  1.101239530360248E+02,2022-04-28 06:21:52.314400
Mars,Sun,  1.523677550269165E+00,  9.344288306349142E-02,  1.847928210957705E+00,  2.867309362893070E+02,  4.949013827466809E+01,  3.315438386022936E+02,2022-04-28 06:21:53.260500
Jupiter,Sun,  5.203301617037825E+00,  4.845021792988619E-02,  1.303498098487797E+00,  2.733223656572247E+02,  1.005086074654741E+02,  3.379313533950281E+02,2022-04-28 06:21:54.209700
Saturn,Sun,  9.580538838370344E+00,  5.301167691004847E-02,  2.487712470917364E+00,  3.351437512879919E+02,  1.136103218547132E+02,  2.342069345503694E+02,2022-04-28 06:21:55.339600
Netpune,Sun,  1.926239325681513E+01,  4.386823409394760E-02,  7.709180658270555E-01,  9.413526789015074E+01,  7.407065071367379E+01,  2.404619227727106E+02,2022-04-28 06:21:57.033300
Uranus,Sun,  3.030196414921582E+01,  1.420391401745709E-02,  1.772614596012886E+00,  2.482216018758451E+02,  1.318474139842000E+02,  3.335327580330122E+02,2022-04-28 06:21:58.492400
Pluto,Sun,  3.928858097319192E+01,  2.462912162691563E-01,  1.709845978577996E+01,  1.129895470128006E+02,  1.102958320020613E+02,  4.814813262142253E+01,2022-04-28 06:21:59.803900
