RA,DEC,obs_time
0.006800966318604572,-0.016903998619246192,2022-05-12 06:34:58.221
0.006811874626429536,-0.016908846756057284,2022-05-12 06:39:58.221
0.0068220557137328355,-0.016913210079187273,2022-05-12 06:44:58.221
0.0068329640215578,-0.016917573402317258,2022-05-12 06:49:58.221
0.006843872329382765,-0.016921936725447242,2022-05-12 06:54:58.221
0.006854780637207729,-0.016926784862258338,2022-05-12 06:59:58.221
0.0068656889450326945,-0.016931148185388326,2022-05-12 07:04:58.221
0.006876597252857658,-0.01693551150851831,2022-05-12 07:09:58.221
0.006887505560682623,-0.016939874831648296,2022-05-12 07:14:58.221
0.006898413868507587,-0.01694472296845939,2022-05-12 07:19:58.221
0.006909322176332552,-0.016949086291589376,2022-05-12 07:24:58.221
0.006920230484157516,-0.01695344961471936,2022-05-12 07:29:58.221
0.006931138791982482,-0.01695781293784935,2022-05-12 07:34:58.221
0.006942047099807446,-0.016962661074660445,2022-05-12 07:39:58.221
0.006952955407632411,-0.01696702439779043,2022-05-12 07:44:58.221
0.0069638637154573755,-0.016971387720920415,2022-05-12 07:49:58.221
0.006974772023282339,-0.016975751044050403,2022-05-12 07:54:58.221
0.006985680331107304,-0.0169805991808615,2022-05-12 07:59:58.221
0.006996588638932268,-0.016984962503991483,2022-05-12 08:04:58.221
0.007007496946757233,-0.016989325827121468,2022-05-12 08:09:58.221
0.007018405254582197,-0.016993689150251453,2022-05-12 08:14:58.221
0.007029313562407162,-0.01699853728706255,2022-05-12 08:19:58.221
0.007040221870232128,-0.017002900610192537,2022-05-12 08:24:58.221
0.007051130178057092,-0.01700726393332252,2022-05-12 08:29:58.221
0.0070620384858820565,-0.017011627256452506,2022-05-12 08:34:58.221
0.00707294679370702,-0.017015990579582495,2022-05-12 08:39:58.221
0.007083855101531985,-0.01702083871639359,2022-05-12 08:44:58.221
0.00709476340935695,-0.017025202039523575,2022-05-12 08:49:58.221
0.007105671717181914,-0.01702956536265356,2022-05-12 08:54:58.221
0.0071165800250068785,-0.017033928685783545,2022-05-12 08:59:58.221
0.007127488332831843,-0.01703877682259464,2022-05-12 09:04:58.221
0.007138396640656808,-0.017043140145724625,2022-05-12 09:09:58.221
0.007149304948481773,-0.017047503468854613,2022-05-12 09:14:58.221
0.0071602132563067375,-0.0170518667919846,2022-05-12 09:19:58.221
0.007171121564131701,-0.017056714928795694,2022-05-12 09:24:58.221
0.007182029871956666,-0.017061078251925682,2022-05-12 09:29:58.221
0.00719293817978163,-0.017065441575055667,2022-05-12 09:34:58.221
0.0072038464876065965,-0.017069804898185652,2022-05-12 09:39:58.221
0.0072147547954315595,-0.017074653034996747,2022-05-12 09:44:58.221
0.007225663103256525,-0.017079016358126732,2022-05-12 09:49:58.221
0.007236571411081489,-0.017083379681256717,2022-05-12 09:54:58.221
0.007247479718906454,-0.017087743004386705,2022-05-12 09:59:58.221
0.007258388026731418,-0.01709210632751669,2022-05-12 10:04:58.221
0.007269296334556382,-0.017096954464327786,2022-05-12 10:09:58.221
0.007280204642381346,-0.017101317787457774,2022-05-12 10:14:58.221
0.007291112950206311,-0.01710568111058776,2022-05-12 10:19:58.221
0.007302021258031277,-0.017110044433717744,2022-05-12 10:24:58.221
0.007312929565856241,-0.01711489257052884,2022-05-12 10:29:58.221
0.007323837873681206,-0.017119255893658824,2022-05-12 10:34:58.221
0.00733474618150617,-0.01712361921678881,2022-05-12 10:39:58.221
0.007345654489331135,-0.017127982539918794,2022-05-12 10:44:58.221
0.007356562797156099,-0.017132830676729893,2022-05-12 10:49:58.221
0.007367471104981064,-0.017137193999859877,2022-05-12 10:54:58.221
0.007378379412806027,-0.017141557322989862,2022-05-12 10:59:58.221
0.007389287720630993,-0.01714592064611985,2022-05-12 11:04:58.221
0.007400196028455957,-0.017150283969249835,2022-05-12 11:09:58.221
0.007411104336280922,-0.01715513210606093,2022-05-12 11:14:58.221
0.007422012644105887,-0.017159495429190916,2022-05-12 11:19:58.221
0.007432920951930851,-0.017163858752320904,2022-05-12 11:24:58.221
0.007443829259755816,-0.01716822207545089,2022-05-12 11:29:58.221
0.00745473756758078,-0.017173070212261984,2022-05-12 11:34:58.221
0.007465645875405744,-0.01717743353539197,2022-05-12 11:39:58.221
0.00747655418323071,-0.017181796858521954,2022-05-12 11:44:58.221
0.007487462491055674,-0.017186160181651942,2022-05-12 11:49:58.221
0.007498370798880639,-0.017190523504781927,2022-05-12 11:54:58.221
0.007509279106705603,-0.017195371641593023,2022-05-12 11:59:58.221
0.007520187414530567,-0.017199734964723008,2022-05-12 12:04:58.221
0.007531095722355532,-0.017204098287852992,2022-05-12 12:09:58.221
0.007542004030180496,-0.01720846161098298,2022-05-12 12:14:58.221
0.007552912338005461,-0.017213309747794073,2022-05-12 12:19:58.221
0.0075638206458304245,-0.01721767307092406,2022-05-12 12:24:58.221
0.00757472895365539,-0.017222036394054046,2022-05-12 12:29:58.221
0.007585637261480356,-0.01722639971718403,2022-05-12 12:34:58.221
0.00759654556930532,-0.01723076304031402,2022-05-12 12:39:58.221
0.007607453877130284,-0.017235611177125115,2022-05-12 12:44:58.221
0.007618362184955248,-0.0172399745002551,2022-05-12 12:49:58.221
0.007629270492780213,-0.017244337823385084,2022-05-12 12:54:58.221
0.007640178800605178,-0.017248701146515073,2022-05-12 12:59:58.221
0.007651087108430142,-0.017253549283326165,2022-05-12 13:04:58.221
0.007661995416255106,-0.017257912606456153,2022-05-12 13:09:58.221
0.007672903724080071,-0.017262275929586138,2022-05-12 13:14:58.221
